"original_filename","show_name","episode_title","new_filename"
"02FE81E9-07AB-4664-8D0B-C872D5DC173D.mp3","The Loyal Opposition","TLO Episode 0401","the-loyal-opposition-tlo-episode-0401.mp3"
"042AFD11-5DC7-4DCC-B908-169F2B36186B.mp3","Growing Pains: Exploring The Challenges in a Thriving Sumner County","Why Smart Growth Matters for Sumner County’s Future","growing-pains-exploring-the-challenges-in-a-thriving-sumner-county-why-smart-growth-matters-for-sumner-countys-future.mp3"
"27CBD461-E31E-49BE-B97D-7D70DBA13BBC.mp3","Front Porch Radio - 3 Dudes with a View","3 Dudes with a View 12-19-23","front-porch-radio-3-dudes-with-a-view-3-dudes-with-a-view-12-19-23.mp3"
"283124B1-B246-45B3-AA60-8D847DB01F96.mp3","Growing Pains: Exploring The Challenges in a Thriving Sumner County","The Truth About Growth in Small Cities with Mayor Mike Callis","growing-pains-exploring-the-challenges-in-a-thriving-sumner-county-the-truth-about-growth-in-small-cities-with-mayor-mike-callis.mp3"
"34DA7305-418E-416D-A838-8E575EF9004C.mp3","Growing Pains: Exploring The Challenges in a Thriving Sumner County","The Playbook for Thriving Communities | Growing Pains","fenton-on-podcast.mp3"
"37C8A773-4697-4F4E-89F9-84303EB757EB.mp3","Clarksville Conversations with Charlie Koon","Episode 222: Will Sanders","clarksville-conversations-with-charlie-koon-episode-222-will-sanders.mp3"
"3A5DAF43-5C68-4556-9D73-0580D1A07A05.mp3","Growing Pains: Exploring The Challenges in a Thriving Sumner County","Inside Sumner County's Government | County Commissioner Mark Harrison","growing-pains-exploring-the-challenges-in-a-thriving-sumner-county-inside-sumner-countys-government-county-commissioner-mark-harrison.mp3"
"42BC68C7-A227-4E68-A28A-9F4EBDC799B9.mp3","Growing Pains: Exploring The Challenges in a Thriving Sumner County","Growth, Leadership, and the Future of Sumner County | A Growing Pains Compilation","growing-pains-exploring-the-challenges-in-a-thriving-sumner-county-growth-leadership-and-the-future-of-sumner-county-a-growing-pains-compilation.mp3"
"526A484C-8323-4281-B20D-10BE1E0858CE.mp3","Growing Pains: Exploring The Challenges in a Thriving Sumner County","Inside the Decisions Shaping Sumner County’s Future with Josh Suddath","growing-pains-exploring-the-challenges-in-a-thriving-sumner-county-inside-the-decisions-shaping-sumner-countys-future-with-josh-suddath.mp3"
"711F4F80-ACA6-4790-876B-A8DB3ACD0211.mp3","Chattanooga Works","PILOT Agreements","chattanooga-works-pilot-agreements.mp3"
"9124CC95-6413-4A7F-B4F9-BDF3053ED2D2.mp3","Growing Pains: Exploring The Challenges in a Thriving Sumner County","Your Local Vote Matters More Than You Think | Tre Hargett with Growing Pains","growing-pains-exploring-the-challenges-in-a-thriving-sumner-county-your-local-vote-matters-more-than-you-think-tre-hargett-with-growing-pains.mp3"
"A42AE343-A968-4EFA-8D25-B96BD30C8FBC.mp3","Growing Pains: Exploring The Challenges in a Thriving Sumner County","Inside Gallatin’s Growing Pains with Mayor Paige Brown","growing-pains-exploring-the-challenges-in-a-thriving-sumner-county-inside-gallatins-growing-pains-with-mayor-paige-brown.mp3"
