text_file,source,kind,pages,chars,chars_per_page,raster_share,trust,producer
1688-2015-c-gallatin-rpt-cpa6-1-14-16.txt,1688-2015-c-gallatin-rpt-cpa6-1-14-16.pdf,DIGITAL,119,404229,3397,0.0,extraction authoritative,Acrobat Distiller 10.1.14 (Windows)
1688-2016-c-gallatin-rpt-cpa6-2-24-17-rev1.txt,1688-2016-c-gallatin-rpt-cpa6-2-24-17-rev1.pdf,DIGITAL,117,380970,3256,0.0,extraction authoritative,Acrobat Distiller 10.1.14 (Windows)
1688-2017-c-gallatin-rpt-cpa6-1-11-18.txt,1688-2017-c-gallatin-rpt-cpa6-1-11-18.pdf,DIGITAL,114,373150,3273,0.0,extraction authoritative,Acrobat Distiller 18.0 (Windows)
1688-2018-c-gallatin-rpt-cpa6-1-07-19.txt,1688-2018-c-gallatin-rpt-cpa6-1-07-19.pdf,DIGITAL,117,382778,3272,0.02,extraction authoritative,Acrobat Distiller 19.0 (Windows)
1688-2019-c-gallatin-rpt-cpa6-12-31-19.txt,1688-2019-c-gallatin-rpt-cpa6-12-31-19.pdf,DIGITAL,120,395826,3299,0.03,extraction authoritative,Acrobat Distiller 19.0 (Windows)
1688-2020-c-gallatin-rpt-cpa811-12-31-20.txt,1688-2020-c-gallatin-rpt-cpa811-12-31-20.pdf,DIGITAL,120,455385,3795,0.02,extraction authoritative,Adobe Acrobat 11.0.16
1688-2021-c-gallatin-rpt-cpa811-8-17-22-rev1.txt,1688-2021-c-gallatin-rpt-cpa811-8-17-22-rev1.pdf,DIGITAL,129,493840,3828,0.0,extraction authoritative,Acrobat Distiller 15.0 (Windows)
1688-2022-c-gallatin-rpt-cpa811-12-31-22.txt,1688-2022-c-gallatin-rpt-cpa811-12-31-22.pdf,DIGITAL,142,456310,3213,0.0,extraction authoritative,Nitro Pro 13 (13.50.4.1013)
1688-2023-c-gallatin-rpt-cpa811-12-21-23.txt,1688-2023-c-gallatin-rpt-cpa811-12-21-23.pdf,DIGITAL,140,463799,3313,0.0,extraction authoritative,Nitro Pro 13 (13.58.0.1180)
1688-2024-c-gallatin-rpt-cpa6-3-30-25-rev1.txt,1688-2024-c-gallatin-rpt-cpa6-3-30-25-rev1.pdf,DIGITAL,141,464301,3293,0.02,extraction authoritative,Aspose.PDF for .NET 22.7.0
1688-2025-c-gallatin-rpt-cpa6-12-29-25.txt,1688-2025-c-gallatin-rpt-cpa6-12-29-25.pdf,DIGITAL,134,455667,3400,0.02,extraction authoritative,Aspose.PDF for .NET 22.7.0
excerpt-gallatin-acfr-fy2021-idb-fund.txt,excerpt-gallatin-acfr-fy2021-idb-fund.pdf,DIGITAL,1,2088,2088,0.0,extraction authoritative,cairo 1.18.0 (https://cairographics.org)
excerpt-gallatin-acfr-fy2022-idb-fund.txt,excerpt-gallatin-acfr-fy2022-idb-fund.pdf,DIGITAL,1,1550,1550,0.0,extraction authoritative,cairo 1.18.0 (https://cairographics.org)
excerpt-gallatin-acfr-fy2023-notes.txt,excerpt-gallatin-acfr-fy2023-notes.pdf,DIGITAL,1,4167,4167,0.0,extraction authoritative,cairo 1.18.0 (https://cairographics.org)
