YEAR,COUNTY,PROJ_TYPE,FILING_DATE,CASE_NO,LESSEE,PROPERTY_ADDRESS,CITY,PARCEL_ID,PROP_TYPE,PROP_CODE,CONTACT,CONTACT_TITLE,EMAIL,EST_VALUE,RENT,PILOT_CITY,PILOT_COUNTY,LH_TAX,LEASE_BEGIN,LEASE_END,REPORTING_FLAG,SOURCE_NOTE
2016,Hamilton,HED,9/23/2016,,"1251 Market St, Suite 100",1251 Market St,Chattanooga,145L01301C001,,HE-5,"Thomas, Johnson, Chief Manager",,tjsolar@bellsouth.net,175100.0,0.0,1762.0,2143.0,,NO INFO,12/31/2020,N,LESSEE field may actually be a property address in source PDF (2016 filing anomaly) - verify manually
2016,,IDB,8/25/2016,,Alstom,1201 RIVERFRONT PARKWAY,Chattanooga,145G A 002,,ID1,"Steve Quataert, Manager  Property Tax",,steven.quataert@ge.com,,,,,,6/26/2008,12/31/2024,,
2016,,IDB,8/25/2016,,Alstom,1201 RIVERFRONT PARKWAY,Chattanooga,145G A 002.05,,ID1,"Steve Quataert, Manager  Property Tax",,steven.quataert@ge.com,,,,,,6/26/2008,12/31/2025,,
2016,,IDB,8/25/2016,,Alstom,1201 RIVERFRONT PARKWAY,Chattanooga,145J A 004.01,,ID1,"Steve Quataert, Manager  Property Tax",,steven.quataert@ge.com,,,,,,6/26/2008,12/31/2026,,
2016,,IDB,12/13/2016,,Amazon.com.dedc LLC,7200 VOLKSWAGEN DRIVE,Chattanooga,040158,,ID1,"Erin O'Neal, Property Tax Compliance Manager",,propertytax@amazon.com,33251315.0,0.0,133000.0,0.0,,1/1/2012,1/1/2023,Y,
2016,,IDB,12/13/2016,,Amazon.com.dedc LLC,7200 VOLKSWAGEN DRIVE,Chattanooga,139074,,ID1,"Erin O'Neal, Property Tax Compliance Manager",,propertytax@amazon.com,58834300.0,0.0,323000.0,0.0,,1/1/2012,1/1/2023,Y,
2016,,IDB,9/7/2016,,"Astec, Inc.",1202 E. 39TH STREET,Chattanooga,1033462P,,D1,"Gary Heinemann, Corporate Tax Director",,gheinemann@astecindustries.com,2955106.0,,11405.0,13659.0,,1/1/2007,12/31/2017,N,
2016,,IDB,9/7/2016,,"Astec, Inc.",1202 E. 39TH STREET,Chattanooga,168AP01400,,D1,"Gary Heinemann, Corporate Tax Director",,gheinemann@astecindustries.com,365000.0,,6769.0,8106.0,,1/1/2007,12/31/2017,N,
2016,,IDB,9/7/2016,,"Astec, Inc.",1202 E. 39TH STREET,Chattanooga,031917,,D1,"Gary Heinemann, Corporate Tax Director",,gheinemann@astecindustries.com,1465800.0,,3742.0,4481.0,,1/1/2007,12/31/2017,Y,
2016,,IDB,9/7/2016,,"Astec, Inc.",1202 E. 39TH STREET,Chattanooga,148GG005,,D1,"Gary Heinemann, Corporate Tax Director",,gheinemann@astecindustries.com,365000.0,,1686.0,2019.0,,1/1/2007,12/31/2017,Y,
2016,,IDB,9/26/2016,,BlueCross BlueShield of Tennessee,1 CAMERON HILL CIRCLE,Chattanooga,135N B005,,ID4,"Robert Maedgen, Financial Coordinator",,Robert_Maedgen@bcbst.com,88068045.0,4525993.0,383756.0,459576.0,,3/1/2008,12/31/2028,Y,
2016,,IDB,9/26/2016,,BlueCross BlueShield of Tennessee,1 CAMERON HILL CIRCLE,Chattanooga,135N B005.01,,ID4,"Robert Maedgen, Financial Coordinator",,Robert_Maedgen@bcbst.com,98590867.0,5066782.0,429474.0,514327.0,,3/1/2008,12/31/2028,Y,
2016,,IDB,9/26/2016,,BlueCross BlueShield of Tennessee,1 CAMERON HILL CIRCLE,Chattanooga,135NB005.02,,ID4,"Robert Maedgen, Financial Coordinator",,Robert_Maedgen@bcbst.com,841088.0,43225.0,3939.0,4717.0,,3/1/2008,12/31/2028,Y,
2016,,IDB,11/4/2016,,Coca Cola Bottling Co. United Inc.,6060 SHALLOWFOOD RD,Chattanooga,1380B00103,,ID1,"Jonathan DeWaard, Tax Director",,JonDewaard@ccbcu.com,45000000.0,0.0,119989.0,146655.0,,4/23/2014,1/1/2028,Y,
2016,Hamilton,IDB,11/4/2016,,Coca Cola Bottling Co. United Inc.,6060 SHALLOWFOOD RD,Chattanooga,047001,,ID1,"Jonathan DeWaard, Tax Director",,JonDewaard@ccbcu.com,1500000.0,0.0,28287.0,34593.0,,4/23/2014,1/1/2028,Y,
2016,,IDB,8/23/2016,,Columbus McKinnon Corporation,3510 NORTH ORCHARD KNOB AVE,Chattanooga,,,ID1,"Hershel Franklin, Cost Accountant",,jeff.franklin@cmworks.com,8009717.0,1.0,13957.0,16715.0,,1/1/2014,12/31/2017,Y,
2016,,IDB,9/28/2016,,"FedEx Ground Package Systems, Inc.",3021 ALTON PARK BLVD,Chattanooga,155FD004,,ID1,,,,4543960.0,0.0,52460.0,62824.0,0.0,10/2/2008,10/1/2016,Y,
2016,,IDB,9/28/2016,,"FedEx Ground Package Systems, Inc.",3021 ALTON PARK BLVD,Chattanooga,1038628,,ID1,,,,1295056.0,0.0,14951.0,17905.0,0.0,10/2/2008,10/1/2016,Y,
