source,date_received,lessee,est_value,rent,pilot_city,pilot_county,lease_begin,lease_end,raw_row
2017-pilot-sumner.pdf,9/28/2016,Beretta USA Corp,15500000,,,,,9/28/2016,"Sumner        83 9/28/2016    IDB        Beretta USA Corporation                           1399 GATEWAY DRIVE             Gallatin       Dana Frazier, Controller                    dfrazier@berettausa.com             NOF000                       1            Y       A     $15,500,000                                                              NO INFO"
2017-pilot-sumner.pdf,10/3/2016,Bradford Company,0,228750,0,0,4/13/2016,1/1/2024,"              83 10/3/2016    IDB        Bradford Company                                  195 COMMERCE ROAD              Gallatin       Robert D. James, Attorney                   rjames@bradley.com                  112109                       ID1          Y       A     $0              $228,750      $0          $0                           4/13/2016     1/1/2024"
2017-pilot-sumner.pdf,10/3/2016,Bradford Company,0,0,0,0,4/13/2016,1/1/2024,"              83 10/3/2016    IDB        Bradford Company                                  195 COMMERCE ROAD              Gallatin       Robert D. James, Attorney                   rjames@bradley.com                  112109                       ID1          Y       B     $0              $0            $0          $0                           4/13/2016     1/1/2024"
2017-pilot-sumner.pdf,10/3/2016,NASG Tennessee North,3394168,1160000,0,0,12/12/2013,1/1/2025,"              83 10/3/2016    IDB        NASG Tennessee North 2 LLC                        160 KIRBY DRIVE                Portland       Robert D. James, Attorney                   rjames@bradley.com                  02002802P                    ID1          Y       A     $3,394,168      $1,160,000    $0          $0                          12/12/2013     1/1/2025"
2017-pilot-sumner.pdf,10/3/2016,North American Stamping Group,7217000,855500,0,0,12/19/2006,1/1/2024,"              83 10/3/2016    IDB        North American Stamping Group, LLC                119 KIRBY ROAD                 Portland       Robert D. James, Attorney                   rjames@bradley.com                  02002802                     ID1          Y       A     $7,217,000      $855,500      $0          $0                          12/19/2006     1/1/2024"
2017-pilot-sumner.pdf,10/3/2016,Shoals Technologies Group,1344896,463223,0,0,12/29/2011,1/1/2028,"              83 10/3/2016    IDB        Shoals Technologies Group, LLC                    1400 SHOALS WAY                Portland       Robert D. James, Attorney                   rjames@bradley.com                  01801501P                    ID1          Y       A     $1,344,896      $463,223      $0          $0                          12/29/2011     1/1/2028"
2017-pilot-sumner.pdf,10/3/2016,Solon,3620200,160213,0,0,12/29/2011,1/1/2028,"              83 10/3/2016    IDB        Solon LLC                                         1400 SHOALS WAY                Portland       Robert D. James, Attorney                   rjames@bradley.com                  01801501                     ID1          Y       A     $3,620,200      $160,213      $0          $0                          12/29/2011     1/1/2028"
2018-pilot-sumner.pdf,09/29/2017,Bradford Company,1523029,125650,0,0,04/13/2016,01/01/2021,"Sumner       083      IDB     09/29/2017      IDB000000003016   BRADFORD COMPANY                            195 COMMERCE ROAD             Gallatin       112 109 P000       ID02             DAVID LAYMAN           DIRECTOR OF ACCOUNTING             DAVID.LAYMAN@BRADFORDCO.COM             $1,523,029.00     $125,650.00        $0.00             $0.00                  04/13/2016    01/01/2021"
2018-pilot-sumner.pdf,09/29/2017,Bradford Company,1854800,153021,0,0,04/13/2016,01/01/2024,"                      IDB     09/29/2017      IDB000000002711   BRADFORD COMPANY                            195 COMMERCE ROAD             Gallatin       112 109 000        ID01             DAVID LAYMAN           DIRECTOR OF ACCOUNTING             DAVE.LAYMAN@BRADFORSCO.COM              $1,854,800.00     $153,021.00        $0.00             $0.00                  04/13/2016    01/01/2024"
2018-pilot-sumner.pdf,10/02/2017,NASG Tennessee North,3335523,1320000,0,0,12/12/2013,01/01/2025,"                      IDB     10/02/2017      IDB000000002348   NASG TENNESSEE NORTH 2, LLC                 160 KIRBY DRIVE               Portland       020 02802P000      ID01             ROBERT D. JAMES        ATTORNEY                           RJAMES@BRADLEY.COM                      $3,335,523.00    $1,320,000.00       $0.00             $0.00                  12/12/2013    01/01/2025"
2018-pilot-sumner.pdf,10/02/2017,North American Stamping Group,7217000,973500,0,0,12/12/2013,01/01/2024,"                      IDB     10/02/2017      IDB000000002354   NORTH AMERICAN STAMPING GROUP, LLC          160 KIRBY ROAD                Portland       020 02802 000      ID01             ROBERT D. JAMES        ATTORNEY                           RJAMES@BRADLEY.COM                      $7,217,000.00     $973,500.00        $0.00             $0.00                  12/12/2013    01/01/2024"
2018-pilot-sumner.pdf,10/02/2017,Shoals Technologies Group,1753920,534800,0,0,12/29/2011,01/01/2028,"                      IDB     10/02/2017      IDB000000002097   SHOALS TECHNOLOGIES GROUP, LLC              1400 SHOALS WAY               Portland       018 01501 P00      ID01             ROBERT D. JAMES        ATTORNEY                           RJAMES@BRADLEY.COM                      $1,753,920.00     $534,800.00        $0.00             $0.00                  12/29/2011    01/01/2028"
2018-pilot-sumner.pdf,10/02/2017,Solon,3620200,182311,0,0,12/29/2011,01/01/2028,"                      IDB     10/02/2017      IDB000000002098   SOLON, LLC                                  1400 SHOALS WAY               Portland       018 01501 000      ID01             ROBERT D. JAMES        ATTORNEY                           RJAMES@BRADLEY.COM                      $3,620,200.00     $182,311.00        $0.00             $0.00                  12/29/2011    01/01/2028"
2018-pilot-sumner.pdf,10/02/2017,Stevison Ham Company,934826,87640,0,0,12/30/2016,01/01/2027,"                      IDB     10/02/2017      IDB000000003066   STEVISON HAM COMPANY                        125 STEVISON HAM ROAD         Portland       019 12400P000      ID01             ROBERT D JAMES         ATTORNEY                           RJAMES@BRADLEY.COM                       $934,826.00       $87,640.00        $0.00             $0.00                  12/30/2016    01/01/2027"
