YEAR,ENTITY,DEBT_NAME,ORIGINAL_AMOUNT,OUTSTANDING_FYE,PROJECT,DEBT_TYPE,HAS_DEBT,SOURCE_SHEET
2021,Adamsville-McNairy County Industrial Development Board,,,,,No Debt,False,2021
2021,Bledsoe County Industrial Development Corporation,,,,,No Debt,False,2021
2021,Cannon County Industrial Development Board,,,,,No Debt,False,2021
2021,Carter County Industrial Development Board,,,,,No Debt,False,2021
2021,City of Hendersonville Industrial Development Board,"$13,300,000 Multifamily Note (Governmental Waterview Apartments Project)",13300000.0,12646587.19,Waterview Apartments,Conduit,True,2021
2021,City of Hendersonville Industrial Development Board,"13,000,000 Educational Facility Revenue Refunding Bonds",13000000.0,2250000.0,Pope John Paul II High School,Conduit,True,2021
2021,City of Hendersonville Industrial Development Board,"5,925,000 Multifamily Bond (Hickory Pointe Apartments)",5925000.0,5130000.0,Hickory Pointe Apartments,Conduit,True,2021
2021,City of Trenton Economic and Industrial Development Board,Ed Norman,400000.0,23766.02,General debt,Direct,True,2021
2021,City of Trenton Economic and Industrial Development Board,Van Can 2013,400000.0,124206.17,Van Can,Conduit,True,2021
2021,Claiborne County Economic and Community Development Board,,,,,No Debt,False,2021
2021,Decaturville Industrial Development Board,,,,,No Debt,False,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN",EDGE Direct Note Obligation (EPPF Project) Series 2016A,25000000.0,23623300.0,"Finance capital improvements and capital expenditures for the constructing and equipping of an approximately 220,000 sq. ft. retail, entertainment and commercial facility known as Elvis Past Present and Future and pay costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN",EDGE Direct Note Obligation (EPPF Project) Series 2016B,25000000.0,14173980.0,"Finance capital improvements and capital expenditures for the constructing and equipping of an approximately 220,000 sq. ft. retail, entertainment and commercial facility known as Elvis Past Present and Future and pay costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN",EDGE Economic Development Bonds (City of Memphis Project) Series 2021A,19140000.0,19140000.0,"Provide funds for a loan to the City of Memphis which will be used by the city to (i) finance certain capital improvement projects within the city consisting of improvements to AutoZone Park stadium, the FedEx Forum arena, the Historic Melrose development and multifamily housing facilities to be occupied by persons of low or moderate income, elderly or handicapped persons; and (ii) pay certain costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","EDGE Qualified Energy Conservation Bond, Series 2017",2142850.0,0.0,"Finance energy conservation installations and improvements to Southbrook Towne Center, including roofing demolition and replacement with energy efficient materials, HVAC systems, lighting, building envelope, electricity plug load, renewable energy technology, and costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","EDGE Revenue Bonds, Series 2021",69635000.0,69635000.0,Proceeds loaned to the City of Memphis to pay together with other money (i) the cost of capital improvements to the public area of the city known as “Liberty Land” (ii) costs of issuance; (iii) fund the temporary Series 2021 Bonds Debt Service Reserve Fund; and (iv) pay or provide for the payment of the Series 2021 Bonds or any portion thereof.,Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","EDGE Senior Tax Increment Revenue Bonds, Series 2017B",24430000.0,23115000.0,"Refinance the EDGE $84,000,000 Direct Note Obligation (Graceland) Series 2015A, fund additional Graceland development costs, fund the Series 2017 Debt Service Reserve and pay certain costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","EDGE Special Project Revenue Obligation, Series 2014",400000.0,1743391.16,"(Serenity Recovery Centers, Inc. Project) Refinancing of taxable indebtedness, owed to a bank and a limited family partnership, previously incurred to finance the acquisition, construction and equipping of capital improvements to the facilities of Serenity Recovery Centers, Inc.’s facilities in Memphis, Tennessee and the acquisition, construction, renovation and equipping of $400,000 of improvements to a women’s dormitory facility in Memphis, Tennessee.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","EDGE Subordinate Tax Increment Revenue Bonds, Series 2017C",24375000.0,24375000.0,"Refinance the EDGE $84,000,000 Direct Note Obligation (Graceland) Series 2015A, fund additional Graceland development costs, fund the Series 2017 Debt Service Reserve and pay certain costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","EDGE Subordinate Tax Increment Revenue Bonds, Series 2017E",10000000.0,10000000.0,"Refinance the EDGE $84,000,000 Direct Note Obligation (Graceland) Series 2015A, fund additional Graceland development costs, fund the Series 2017 Debt Service Reserve and pay certain costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","EDGE TDZ Revenue Refunding Bonds, Series 2017B",87725000.0,87725000.0,"Proceeds loaned to City of Memphis, and together with other available funds, will be used to refund and defease the Memphis Center City Revenue Finance Corporation Federally Taxable Senior Revenue Bonds, Series 2011A, Exempt Subordinate Revenue Bonds, Series 2011B and Federally Taxable Subordinate Revenue Bonds, Series 2011C (Pyramid and Pinch District Redevelopment Project) and pay certain costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","EDGE TDZ Revenue Refunding Bonds, Series 2017C",34300000.0,25735000.0,"Proceeds loaned to City of Memphis, and together with other available funds, will be used to refund and defease the Memphis Center City Revenue Finance Corporation Federally Taxable Senior Revenue Bonds, Series 2011A, Exempt Subordinate Revenue Bonds, Series 2011B and Federally Taxable Subordinate Revenue Bonds, Series 2011C (Pyramid and Pinch District Redevelopment Project) and pay certain costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN",Economic Development Bonds (City of Memphis Project) Series 2021B,5115000.0,5115000.0,"Provide funds for a loan to the City of Memphis which will be used by the city to (i) finance certain capital improvement projects within the city consisting of improvements to AutoZone Park stadium, the FedEx Forum arena, the Historic Melrose development and multifamily housing facilities to be occupied by persons of low or moderate income, elderly or handicapped persons; and (ii) pay certain costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","Memphis and Shelby County Port Commission Development Revenue Bonds, Series 2011",40795000.0,29740000.0,"Finance the costs of infrastructure improvements and development located at the Frank Pidgeon Industrial Park and design, engineering, permitting, site preparation, eviction and construction of an appliance manufacturing and assembly facility, warehouse and distribution facility, and regional headquarters facility for Electrolux Home Products, Inc.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","Revenue Refunding Bond, Series 2019",7375000.0,,"Refund the $6,410,000 the Industrial Development Board of the City of Memphis and County of Shelby, Tennessee Variable Rate Refunding Revenue Bonds (YMCA Projects) Series 2010 and $3,150,000 The Industrial Development Board of the City of Memphis and County of Shelby, Tennessee Special Project Revenue Obligation (YMCA of Memphis and the Mid-South Project).",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","Senior Tax Increment Revenue Bonds, Series 2017A",40490000.0,39165000.0,"Refinance the EDGE $84,000,000 Direct Note Obligation (Graceland) Series 2015A, fund additional Graceland development costs, fund the Series 2017 Debt Service Reserve and pay certain costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","Subordinate Tax Increment Revenue Bonds, Series 2017D",5005000.0,4975000.0,"Refinance the EDGE $84,000,000 Direct Note Obligation (Graceland) Series 2015A, fund additional Graceland development costs, fund the Series 2017 Debt Service Reserve and pay certain costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","TDZ Revenue Refunding Bonds, Series 2017A",36215000.0,0.0,"Proceeds loaned to City of Memphis, and together with other available funds, will be used to refund and defease the Memphis Center City Revenue Finance Corporation Federally Taxable Senior Revenue Bonds, Series 2011A, Exempt Subordinate Revenue Bonds, Series 2011B and Federally Taxable Subordinate Revenue Bonds, Series 2011C (Pyramid and Pinch District Redevelopment Project) and pay certain costs of issuance.",Conduit,True,2021
2021,"Economic Development Growth Engine Industrial Development Board of the City of Memphis and County of Shelby, TN","The Industrial Development Board of the City of Memphis and County of Shelby, Tennessee Variable Rate Demand Revenue Bonds Series 2007A and Series 2007B",5600000.0,,"Finance or refinance the acquisition, renovation, construction and equipping of certain Boys and Girls Club facilities in the City of Memphis.",Conduit,True,2021
2021,Fayetteville-Lincoln County Industrial Development Board,Lease Revenue & Tax Refunding Bonds (Series 2007),4960000.0,4805000.0,Hospital Facility Project,Conduit,True,2021
2021,Fayetteville-Lincoln County Industrial Development Board,Lease Revenue & Tax Refunding Bonds (Series 2013),6735000.0,2165000.0,Hospital Facility Project,Conduit,True,2021
2021,Fayetteville-Lincoln County Industrial Development Board,Tax Increment Revenue Note (Series 2015 A & Series 2015 B),850000.0,262853.57,The Avenue at Lincoln Center,Direct,True,2021
2021,Gallatin Industrial Development Board,,,,,No Debt,False,2021
2021,Hancock County Industrial Development Board,,,,,No Debt,False,2021
2021,Hartsville/Trousdale County Industrial Development Board,,,,,No Debt,False,2021
2021,Hawkins County Industrial Development Board,,,,,No Debt,False,2021
2021,"Industrial Board of Coffee County, Tennessee, Inc.",Citizen's Tri-County Bank,721000.0,700515.42,Economic development for the purpose of industrial recruitment,Direct,True,2021
2021,"Industrial Board of Coffee County, Tennessee, Inc.",Duck River Electric Membership Corporation,360000.0,345000.0,Economic Development for the purpose of industrial recruitment,Direct,True,2021
2021,"Industrial Board of Coffee County, Tennessee, Inc.",Tennessee Valley Authority,500000.0,490428.55,Economic Development for the purpose of industrial recruitment,Direct,True,2021
2021,"Industrial Board of the Town of Bruceton, Tennessee",,,,,No Debt,False,2021
2021,Industrial Development Authority of Overton County,,,,,No Debt,False,2021
2021,Industrial Development Board of Blount County and the Cities of Alcoa and Maryville,Ind. Spec. Bldg. Loan,630000.0,130299.0,Construction of Industrial Spec Building,Direct,True,2021
2021,Industrial Development Board of Blount County and the Cities of Alcoa and Maryville,Maryville Civic Arts Center Project,32300000.0,6500000.0,Clayton Center for the Arts Construction Note,Conduit,True,2021
2021,Industrial Development Board of Blount County and the Cities of Alcoa and Maryville,R&D Park Note,5000000.0,4661071.0,Construction of R&D Park,Direct,True,2021
2021,Industrial Development Board of Blount County and the Cities of Alcoa and Maryville,R&D Park Note,5000000.0,4992143.0,Construction of R&D Park,Direct,True,2021
2021,Industrial Development Board of Blount County and the Cities of Alcoa and Maryville,R&D Park Note,5000000.0,4840320.0,Construction of R&D Park,Direct,True,2021
2021,Industrial Development Board of Blount County and the Cities of Alcoa and Maryville,R&D Park Notes,5000000.0,4969769.0,Construction of R&D Park,Direct,True,2021
2021,"Industrial Development Board of Brownsville, Tennessee",,,,,No Debt,False,2021
2021,"Industrial Development Board of Campbell County, Tennessee",,,,,No Debt,False,2021
2021,Industrial Development Board of Cheatham County,"Revenue Bond (Cumberland Heights Foundation, Inc. Project) S2018",6000000.0,1750000.0,Construction and equipping of rehabilitation facility,Conduit,True,2021
2021,"Industrial Development Board of Crockett County, Tennessee",,,,,No Debt,False,2021
2021,"Industrial Development Board of Cumberland County, Tennessee",,,,,No Debt,False,2021
2021,"Industrial Development Board of DeKalb County, Tennessee",,,,,No Debt,False,2021
2021,Industrial Development Board of Dyer County,Tax Increment Revenue Note,3000000.0,2850000.0,The Commons Retail Development Project,Conduit,True,2021
2021,Industrial Development Board of Erin,,,,,No Debt,False,2021
2021,"Industrial Development Board of Fentress County, Inc.",,,,,No Debt,False,2021
2021,Industrial Development Board of Franklin County,Industrial Development Board - Land,822666.0,80648.0,Purchase Property for Industrial Use,Direct,True,2021
2021,"Industrial Development Board of Gibson County, Tennessee",,,,,No Debt,False,2021
2021,"Industrial Development Board of Grainger County, Tennessee",,,,,No Debt,False,2021
2021,Industrial Development Board of Grundy County,,,,,No Debt,False,2021
2021,Industrial Development Board of Hamilton County,Tennessee Aquarium - Series 2020A & Series 2020B,16000000.0,,Tennessee Aquarium,Conduit,True,2021
2021,"Industrial Development Board of Humphreys County, TN",,,,,No Debt,False,2021
2021,"Industrial Development Board of Jefferson County, Tennessee",,,,,No Debt,False,2021
2021,Industrial Development Board of Jonesborough,,,,,No Debt,False,2021
2021,Industrial Development Board of Knox County,"Boys & Girls Club of the TN Valley, Series 2020, 1/31/2020",8792873.58,1475000.0,Boys & Girls Club,Conduit,True,2021
2021,Industrial Development Board of Knox County,"Knoxville Zoological Gardens, Inc., Series 2019, 8/23/2019",15000000.0,2457537.84,Zoo Knoxville,Conduit,True,2021
2021,Industrial Development Board of Knox County,"Tax Increment Revenue Note, Series 2011A, 9/30/2011",6000000.0,0.0,Northshore Town Center,Direct,True,2021
2021,Industrial Development Board of Knox County,"Tax Increment Revenue Note, Series 2011B, 9/30/2011",3000000.0,0.0,Northshore Town Center,Direct,True,2021
2021,Industrial Development Board of Knox County,"Tax Increment Revenue Note, Series 2019A, 11/12/2019",2000000.0,2000000.0,Grassy Creek,Direct,True,2021
2021,Industrial Development Board of Knox County,"Tax Increment Revenue Note, Series 2019B, 11/12/2019",500000.0,500000.0,Grassy Creek,Direct,True,2021
2021,Industrial Development Board of Knox County,"Tax Increment Revenue Note, Series 2020, 12/22/2020",2507841.21,1878642.15,Northshore Town Center,Direct,True,2021
2021,Industrial Development Board of Knox County,"The Change Center, Series 2017, 7/31/2017",2300000.0,964778.36,The Change Center,Conduit,True,2021
2021,Industrial Development Board of Knox County,"Young Men's Christian Assoc. of ETN, Series 2019, 8/16/2019",5500000.0,3652611.98,YMCA of East TN,Conduit,True,2021
2021,"Industrial Development Board of Lake County, Tennessee",,,,,No Debt,False,2021
2021,"Industrial Development Board of Lauderdale County, Tennessee",,,,,No Debt,False,2021
2021,Industrial Development Board of Loudon County,,,,,No Debt,False,2021
2021,Industrial Development Board of Marion County,,,,,No Debt,False,2021
2021,Industrial Development Board of McMinn County,Armstrong Promissory Note - 2017,1695900.0,1222216.0,Land acquisition for expansion of North Etowah Industrial Park,Direct,True,2021
2021,Industrial Development Board of McMinn County,Revenue Bond - 2012,5000000.0,1375000.0,Creative Foam Corporation Project Limited Obligation Revenue Bond,Conduit,True,2021
2021,Industrial Development Board of McMinn County,Revenue Refunding Bond - 2012,9383150.0,7334864.0,Tennessee Wesleyan College Educational Facilities Revenue Refunding Bonds,Conduit,True,2021
2021,Industrial Development Board of McMinn County,Tax Increment Financing Note - 2016,800000.0,800000.0,Madison Park Redevelopment,Non-Debt,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Caney Fork Electric Coop,740000.0,95920.0,Building Sansin,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Caney Fork Electric Coop,300000.0,87500.0,Building - DN Plastics,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Caney Fork Electric Coop,2000000.0,596650.0,Building - DN Plastics,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Caney Fork Electric Coop,205000.0,51561.0,Building Magness Dr,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Caney Fork Electric Coop,300000.0,41667.0,Building Sansin,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Housing Urban Bond,3205000.0,2865000.0,Beersheba Tower Housing,Conduit,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Tennessee Valley Authority,1870000.0,1198231.0,Building - Sansin,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Tennessee Valley Authority,1000000.0,325231.0,Building - MPC,Direct,True,2021
2021,Industrial Development Board of McMinnville-Warren County,Tennessee Valley Authority,1200000.0,705411.0,Building -DN Plastics,Direct,True,2021
2021,Industrial Development Board of Meigs County and the City of Decatur,,,,,No Debt,False,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Adjustable Rate Industrial Development Revenue Bonds Series 1999,5000000.0,600000.0,"Steel Coils, Inc. Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Adjustable Rate Revenue Refunding Bonds Series 2005,4850000.0,285296.0,Nashville Public Radio Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Country Music Foundation 2010,23200000.0,14693337.0,Country Music Hall of Fame,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Bond Series 2010,6716460.0,4253758.0,Saint Paul Christian Academy,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Bonds Series 2003B,7500000.0,750000.0,David Lipscomb University Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Bonds Series 2004,2900000.0,435000.0,St. Bernard Academy Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Bonds Series 2007,1400000.0,420000.0,Watkins Institute Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Refunding Bonds Series 2003,6500000.0,650000.0,Trevecca Nazarene University Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Educational Facilities Revenue Refunding and Improvement Bonds Series 2002,8000000.0,400000.0,University School of Nashville Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,HCA Series 2012,100000000.0,70000003.0,HCA Personal Property,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,HCA Series 2012,100000000.0,70000003.0,HCA Real Property,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Industrial Development Bond 2012,260000000.0,164666663.0,HCA West End Summit Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Industrial Development Revenue Bonds Series 2001,4000000.0,800000.0,"L & S, LLC Project",Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Life Point Series 2012,50000000.0,34999997.0,Life Point Project- Real Property,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Life Point Series 2012,30000000.0,21000000.0,Life Point Project-Personal Property,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Mortgage Revenue Bonds Series 1982,3303353.0,82576.0,FHA Insured Mortgage Loan - Margaret Robertson Garden Apartments Section 8 Assisted Project,Conduit,True,2021
2021,Industrial Development Board of Metropolitan Nashville and Davidson County,Mortgage Revenue Bonds Series 1983,6838879.0,341943.0,FHA Insured Mortgage Loan Graybrook Apartments Project,Conduit,True,2021
