parcel,addr,owner,acres,appraised,assessed
105-04500,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,104.93,1208800,52500
105-04600,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,118.0,764600,35775
105-04601,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,8.73,0,0
106-03500,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,328.31,4284700,182700
111-00100,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,512.54,519189800,0
111-00101,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,6.25,625000,0
111-00102,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,6.77,0,0
111-00200,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,51.03,4659000,0
111-02001,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,15.0,356200,10500
111-02400,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,116.22,4612900,0
112-01200,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,11.19,6453900,0
112-01201,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,3.3,412500,0
112-01202,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,99.88,19112100,0
112-01204,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,32.83,1313200,525280
112-01206,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,28.56,10388500,0
112-01207,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,14.89,893400,0
112-01302,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,53.35,1414800,0
112-01604,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,6.0,1494800,597920
112-01606,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,8.81,3425900,1370360
112-01607,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,6.6,247300,61825
112-01610,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,17.35,0,0
112-01611,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,1.0,150000,0
112-01612,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,8.82,2657400,0
112-01800,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,37.62,691200,19800
112-10300,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,5.1,0,0
112-11000,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,2.46,0,0
112-11900,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,10.01,1173200,0
112-12000,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,7.83,343600,0
112-12100,,Tennessee Property Assessment Data - Parcel Details Report - https://assessment.cot.tn.gov/,9.34,384000,0
