file,effective,rate_class,line,base_rate,fuel_cost,effective_rate
2016-dec,"December 1, 2016",RESIDENTIAL,customer_charge,13.55,,
2016-dec,"December 1, 2016",RESIDENTIAL,Summer kWh,6.869,TBA,TBA
2016-dec,"December 1, 2016",RESIDENTIAL,Winter kWh,6.555,2.335,8.890
2016-dec,"December 1, 2016",RESIDENTIAL,Transition Month kWh,6.359,TBA,TBA
2016-dec,"December 1, 2016",GSA1,customer_charge,16.60,,
2016-dec,"December 1, 2016",GSA1,Summer kWh,8.072,TBA,TBA
2016-dec,"December 1, 2016",GSA1,Winter kWh,7.758,2.317,10.075
2016-dec,"December 1, 2016",GSA1,Transition Month kWh,7.562,TBA,TBA
2016-dec,"December 1, 2016",GSA2,customer_charge,40.00,,
2016-dec,"December 1, 2016",GSA2,"demand Summer >50 – 1,000 kW",10.12,,
2016-dec,"December 1, 2016",GSA2,"demand Winter >50 – 1,000 kW",9.19,,
2016-dec,"December 1, 2016",GSA2,"demand Transition Month >50 – 1,000 kW",9.19,,
2016-dec,"December 1, 2016",GSA2,"Summer First 15,000 kWh",7.361,TBA,TBA
2016-dec,"December 1, 2016",GSA2,"Winter First 15,000 kWh",7.048,2.317,9.365
2016-dec,"December 1, 2016",GSA2,"Transition Month First 15,000 kWh",6.851,TBA,TBA
2016-dec,"December 1, 2016",GSA2,"Summer addl. kWh >15,000",4.451,TBA,TBA
2016-dec,"December 1, 2016",GSA2,"Winter addl. kWh >15,000",4.144,2.297,6.441
2016-dec,"December 1, 2016",GSA2,"Transition Month addl. kWh >15,000",4.014,TBA,TBA
2016-dec,"December 1, 2016",GSA3,customer_charge,150.00,,
2016-dec,"December 1, 2016",GSA3,"demand Summer 0 – 1,000 kW",10.15,,
2016-dec,"December 1, 2016",GSA3,"demand Winter 0 – 1,000 kW",9.24,,
2016-dec,"December 1, 2016",GSA3,"demand Transition Month 0 – 1,000 kW",9.24,,
2016-dec,"December 1, 2016",GSA3,"demand Summer 1,000 – 5,000 kW",14.09,,
2016-dec,"December 1, 2016",GSA3,"demand Winter 1,000 – 5,000 kW",13.16,,
2016-dec,"December 1, 2016",GSA3,"demand Transition Month 1,000 – 5,000 kW",13.16,,
2016-dec,"December 1, 2016",GSA3,Summer kWh,4.448,TBA,TBA
2016-dec,"December 1, 2016",GSA3,Winter kWh,4.144,2.297,6.441
2016-dec,"December 1, 2016",GSA3,Transition Month kWh,4.013,TBA,TBA
2016-dec,"December 1, 2016",GSA3,"demand Summer 5,000 – 15,000 kW",19.92,,
2016-dec,"December 1, 2016",GSA3,"demand Winter 5,000 – 15,000 kW",16.75,,
2016-dec,"December 1, 2016",GSA3,"demand Transition Month 5,000 – 15,000 kW",13.62,,
2016-dec,"December 1, 2016",GSA3,Summer kWh,3.018,TBA,TBA
