"Owner","Property Address","Control Map","Group","Parcel","Special Interest","Parcel ID","Subdivision","Lot","Class","Sale Date"
"AMERICA UNITED STATES OF","PORTLAND BLVD  501","020","","041.00","000","020    04100 000","","","Federal","1/6/1948"
"AMERICA UNITED STATES OF","COLES FERRY ROAD  0","149","","027.00","000","149    02700 000","","","Federal",""
"PORTLAND HOUSING AUTHORITY","POTTS STREET  0","033H","H","013.00","000","033H H 01300 000","","","Federal","2/11/1967"
"PORTLAND HOUSING AUTHORITY","POTTS STREET WEST  0","033H","J","001.00","000","033H J 00100 000","","","Federal","2/11/1967"
"TENNESSEE VALLEY AUTHORITY","L & N RAILROAD  0","126E","A","005.00","000","126E A 00500 000","","","Federal",""
"TENNESSEE VALLEY AUTHORITY","STOP THIRTY ROAD  0","145","","055.02","000","145    05502 000","","","Federal","6/24/1974"
"TENNESSEE VALLEY AUTHORITY","STEAM PLANT ROAD  0","126","","004.00","000","126    00400 000","","","Federal","5/10/2015"
"TENNESSEE VALLEY AUTHORITY UNITED STATES OF AMERICA","MOUNT VERNON ROAD  2291","042","","056.02","000","042    05602 000","","","Federal","9/27/2010"
"TVA USA","COLES FERRY ROAD  0","134","","059.02","000","134    05902 000","","","Federal","10/4/2017"
"U S A GEORGE W BUSH C/O","MOORE LINK ROAD  0","073","","026.01","000","073    02601 000","","","Federal","4/29/1980"
"UNITED STATE OF AMERICA","PENINSULA DRIVE  1119","135A","C","010.00","000","135A C 01000 000","BEL-AIR S/D SEC 3","10","Federal","3/27/2026"
"UNITED STATES OF AMERICA TENNESSEE VALLEY AUTHORITY C/O","DRIVERS LANE  0","134","","053.18","000","134    05318 000","","19","Federal","1/31/2017"
"UNITED STATES OF AMERICA TENNESSEE VALLEY AUTHORITY C/O","COLES FERRY ROAD  0","134","","055.00","000","134    05500 000","","","Federal","1/31/2017"
"UNITED STATES OF AMERICA TENNESSEE VALLEY AUTHORITY C/O","COLES FERRY ROAD  0","134","","056.00","000","134    05600 000","","","Federal","1/31/2017"
"UNITED STATES POSTAL SERVICE","MAPLE STREET  0","126G","B","023.00","000","126G B 02300 000","WADE TRUST","4","Federal","4/12/1983"
"UNITED STATES POSTAL SERVICE","COMMON ACCESS  0","163C","F","001.01","000","163C F 00101 000","IMPERIAL SQUARE","RSV PCL","Federal","1/14/1985"
"UNITED STATES POSTAL SERVICE","IMPERIAL BLVD  0","163C","F","002.01","000","163C F 00201 000","IMPERIAL SQUARE SEC 11","15","Federal","2/17/1978"
"USA % TVA","JIM COURTNEY RD  105","020","","043.01","000","020    04301 000","","","Federal","3/19/1998"
