"Owner","Property Address","Control Map","Group","Parcel","Special Interest","Parcel ID","Subdivision","Lot","Class","Sale Date"
"AMERICAN TOWER ASSET SUB LLC %PROPERTY TAX C/O","STOP THIRTY ROAD  2102","145","","056.02","000","145    05602 000","SAVELY PROP","1","State Assessed","6/19/2017"
"BELLSOUTH TELECOMMUNICATIONS INC","INDIAN LAKE ROAD  288","164J","F","005.01","000","164J F 00501 000","","","State Assessed","1/26/1999"
"BETHPAGE-CASTALIAN SPGS UTILITY DISTRICT","BRADFORD BOULEVARD  0","091","","117.01","000","091    11701 000","","","State Assessed","4/29/1980"
"CAGES BEND UTILITY DISTRICT","TANASI SHORES  0","158M","C","002.00","000","158M C 00200 000","TANASI SHORES","","State Assessed","6/9/1988"
"CASTALIAN SPGS-BETHPAGE UTILITY DIST","ROCK SPRINGS ROAD EAST OF  0","107","","020.00","000","107    02000 000","","","State Assessed","11/6/1985"
"CASTALIAN SPRINGS BETHPAGE WATER UTILITY DIS","MUTTON HOLLOW HILL RD  0","085","","031.02","000","085    03102 000","","","State Assessed","3/28/2007"
"CASTALIAN SPRINGS BETHPAGE WATER UTILITY DIST","31E HWY  0","068","","028.03","000","068    02803 000","","","State Assessed","6/18/2004"
"CASTALIAN SPRINGS- BETHPAGE WATER UTILITY","WOMACK ROAD  0","061","","004.02","000","061    00402 000","","","State Assessed","7/30/1981"
"CASTALIAN SPRINGS-BETHPAGE UTL DIST","LAUDERDALE LANE  0","107","","016.03","000","107    01603 000","","","State Assessed","12/10/1996"
"CASTALIAN SPRINGS-BETHPAGE WATER UTILITY DIST","MOUNT VERNON ROAD  0","063","","027.01","000","063    02701 000","","","State Assessed","11/16/1998"
"CASTALIAN SPRINGS-BETHPAGE WATER UTILITY DIST","HINTON ROAD  1010","084","","043.01","000","084    04301 000","","","State Assessed","11/22/2013"
"CROWN CASTLE GT COMPANY LLC %CROWN CASTLE INT","DOBBINS PIKE  4012","041","","017.00","000","041    01700 000","","","State Assessed","5/22/2002"
"CUMBERLAND ELEC CORP","MOORE LINK ROAD  402","073","","026.00","000","073    02600 000","","","State Assessed","6/22/1982"
"CUMBERLAND ELECTRIC MEMBERSHIP CORP","BUTLER BRIDGE RD  284","039","","081.01","000","039    08101 000","BEN ROWLAND BUTLER B","","State Assessed","1/2/1990"
"CUMBERLAND ELECTRIC MEMBERSHIP CORP","HARTSVILLE PIKE  0","111","","023.01","000","111    02301 000","","","State Assessed","7/19/2011"
"CUMBERLAND ELECTRIC MEMBERSHIP CORP","31 HWY  0","121","","069.01","000","121    06901 000","","","State Assessed","2/5/1976"
"CUMBERLAND ELECTRIC MEMBERSHIP CORP","CENTER POINT ROAD  1499","144P","D","010.00","000","144P D 01000 000","WOODBRIDGE AT MANSKE","10","State Assessed","5/3/2011"
"CUMBERLAND ELECTRIC MEMBERSHIP CORP","CENTER POINT ROAD  1521","144P","D","011.00","000","144P D 01100 000","WOODBRIDGE AT MANSKE","11","State Assessed","5/3/2011"
"CUMBERLAND ELECTRIC MEMBERSHIP CORP","WEST MARKET STREET  100","033H","H","002.00","000","033H H 00200 000","","","State Assessed","10/3/2018"
"CUMBERLAND ELECTRIC MEMBERSHIP CORP.","SOUTH BROADWAY  207","033H","H","024.00","000","033H H 02400 000","","","State Assessed","4/18/1953"
"CUMBERLAND ELECTRIC MEMBERSHIP CORPORATION","LAKE ROAD  0","020","","040.01","000","020    04001 000","","","State Assessed","6/4/1981"
"CUMBERLAND ELECTRIC MEMBERSHIP CORPORATION","JACKSON ROAD  105","033H","H","022.00","000","033H H 02200 000","CEMC LAYDOWN YARD SUB","1","State Assessed","10/28/2025"
"CUMBERLAND ELECTRIC MEMBERSHIP CORPORATION","BLYTHE AVENUE NORTH  745","113K","A","007.00","000","113K A 00700 000","","","State Assessed","1/20/2016"
"CUMBERLAND ELECTRIC MEMBERSHIP CORPORATION","LONG HOLLOW PIKE  0","124","","035.07","000","124    03507 000","","","State Assessed","7/15/1992"
"CUMBERLAND ELECTRIC MEMBERSHIP CORPORATION","WOODS FERRY ROAD  0","135","","034.00","000","135    03400 000","","","State Assessed","5/24/1995"
"CUMBERLAND ELECTRIC MEMBERSHIP CORPORATION","STOP THIRTY ROAD S OFF  0","145","","055.03","000","145    05503 000","","","State Assessed","8/17/1976"
"EAST TENNESSEE NATURAL GAS CO.","HIX LANE  0","113","","021.00","000","113    02100 000","","","State Assessed","8/28/1951"
"HEND UTILITY DIST % CROWN CASTLE SO LLC PMB 353","CUMBERLAND HILLS DRIVE  383","164F","E","010.00","001","164F E 01000 001","","","State Assessed","6/23/1960"
"HEND UTILITY DIST %CROWN CASTLE SO LLC PMB 353","CUMBERLAND HILLS DRIVE  383","164F","E","010.00","002","164F E 01000 002","","","State Assessed","6/23/1960"
"HENDERSONVILLE UTILITY DIST","SAVO BAY  129","163B","B","013.02","000","163B B 01302 000","HENDERSONVILLE UTILITY TREATMENT SITE","1","State Assessed","10/26/1981"
"HENDERSONVILLE UTILITY DISTRICT","RAIN DROP LANE  0","145P","A","046.01","000","145P A 04601 000","","","State Assessed","6/12/1981"
"HENDERSONVILLE UTILITY DISTRICT","RIVER CHASE  0","158B","D","024.00","000","158B D 02400 000","","","State Assessed","2/12/1982"
"HENDERSONVILLE UTILITY DISTRICT","INDIAN LAKE ROAD  125","159O","D","033.01","000","159O D 03301 000","MAPLE ROW SHOPPING C","3","State Assessed","4/26/2005"
"HENDERSONVILLE UTILITY DISTRICT","FREE HILL ROAD  0","160","","033.01","000","160    03301 000","","","State Assessed","1/18/1989"
"HENDERSONVILLE UTILITY DISTRICT","FREE HILL ROAD  0","160","","039.00","000","160    03900 000","","","State Assessed",""
"HENDERSONVILLE UTILITY DISTRICT","S CENTER POINT ROAD  0","161M","A","006.00","000","161M A 00600 000","F G DEVELOPMENT CO & HEND UTILITY DIST","4","State Assessed","4/21/1982"
"HENDERSONVILLE UTILITY DISTRICT","RICE ROAD OFF  0","163B","B","013.01","000","163B B 01301 000","HENDERSONVILLE UTILITY TREATMENT SITE","TR","State Assessed","10/26/1981"
"HENDERSONVILLE UTILITY DISTRICT","HARLAN AVENUE  116","163D","C","024.00","000","163D C 02400 000","HENDERSONVILLE UTILITY BOY SCOUTS SITE","1","State Assessed","9/15/1959"
"HENDERSONVILLE UTILITY DISTRICT","SANDERS FERRY ROAD  0","164A","A","034.00","000","164A A 03400 000","EDGEWATER APARTMENTS","","State Assessed","8/28/1970"
"HENDERSONVILLE UTILITY DISTRICT","POINT O VIEW  0","164F","A","022.00","000","164F A 02200 000","","","State Assessed",""
"HENDERSONVILLE UTILITY DISTRICT","CUMBERLAND HILLS DRIVE  383","164F","E","010.00","000","164F E 01000 000","","","State Assessed","6/23/1960"
"HENDERSONVILLE UTILITY DISTRICT","SANDERS FERRY ROAD  0","164I","A","001.00","000","164I A 00100 000","","","State Assessed","1/6/1967"
"HENDERSONVILLE UTILITY DISTRICT","CUMBERLAND HILLS DRIVE  0","164M","A","029.01","000","164M A 02901 000","","","State Assessed","4/30/1985"
"HENDERSONVILLE UTILITY DISTRICT","GATONE DRIVE 145 REAR OF  145","169I","E","024.00","000","169I E 02400 000","LAKESIDE PARK SEC 6","56","State Assessed",""
"L & N RAILROAD","GRAY STREET & BLYTHE ST  0","113K","L","045.00","000","113K L 04500 000","","","State Assessed","1/1/1901"
"LEVEL 3 COMMUNICATIONS LLC","31W HWY  5630","018","","008.04","000","018    00804 000","RICHARD MAZANEC COMM","1","State Assessed","12/17/1999"
"LOUISVILLE & NASHVILLE RAILROAD COMPANY","OLD SHACKLE ISLAND RD  0","159I","D","001.00","000","159I D 00100 000","","","State Assessed",""
"METROPOLITAN GOVERNMENT OF NASHVILLE & DAVIDSON CO","RIVERWOOD DRIVE  0","169P","F","016.00","000","169P F 01600 000","CURTISWOOD SEC 2","90","State Assessed","4/17/1964"
"MIDWESTERN GAS TRNSMSN","TGT ROAD  0","016","","063.00","000","016    06300 000","","","State Assessed","5/1/1959"
"NASHVILLE ELEC SERV","NEVERBREAK & REBECCA DRIVE  0","169I","A","006.00","000","169I A 00600 000","SURFSIDE PARK SEC 3","136","State Assessed",""
"NASHVILLE ELECTRIC POWER BOARD","ROBERTA DRIVE  102","170M","E","017.00","000","170M E 01700 000","DELRAY PARK ESTATES","2","State Assessed","8/14/1962"
"NORTH CENTRAL TELEPHONE COOP CORP","31E HWY OLD  603","068","","057.00","000","068    05700 000","","","State Assessed","4/30/2024"
"NORTH CENTRAL TELEPHONE COOP CORP","31E HWY OLD  0","068","","059.00","000","068    05900 000","","","State Assessed","4/30/2024"
"NORTH CENTRAL TELEPHONE COOP, INC.","52 HWY  0","044E","A","003.00","000","044E A 00300 000","","","State Assessed","3/10/1953"
"NORTH CENTRAL TELEPHONE COOPERATIVE","SOUTH WALNUT STREET  0","044E","A","023.00","000","044E A 02300 000","","","State Assessed","4/16/1992"
"NORTH CENTRAL TELEPHONE COOPERATIVE CORP.","HINTON DRIVE  5","068","","058.00","000","068    05800 000","","","State Assessed","3/27/1976"
"NORTH CENTRAL TELEPHONE COOPERATIVE INC","AUSTIN PEAY HWY  5620","044","","137.00","000","044    13700 000","LINVILLE","2","State Assessed","5/19/2004"
"NORTH CENTRAL TELEPHONE COOPERATIVE INC","ROCK BRIDGE RD  1621","061","","016.02","000","061    01602 000","NORTH CENTRAL TELEPH","1","State Assessed","11/11/1996"
"RDC MICROWAVE INC ATC SOUTH LLC C/O","DOBBINS PIKE  0","071","","071.00","000","071    07100 000","","","State Assessed","12/19/1995"
"ROGERS TRUCKING INC","FOUNTAIN HEAD ROAD  210","039","","029.00","000","039    02900 000","","","State Assessed","5/2/1995"
