"Owner","Property Address","Control Map","Group","Parcel","Special Interest","Parcel ID","Subdivision","Lot","Class","Sale Date"
"1001 WEST MAIN LLC","WEST MAIN STREET  1001","160O","D","010.01","000","160O D 01001 000","JOE H. CORLEY","2","Commercial","1/31/2007"
"104 EMILY TRUST REALTY INVESTMENTS GROUP LLC","EMILY LANE  104","033O","D","017.00","000","033O D 01700 000","RICHLAND VILLAGE SUB","16","Commercial","1/8/2022"
"1050 WOODY LLC","WOODY LANE  1050","118","","011.00","000","118    01100 000","KIRBY SUB RESUB-KIRB","1B-1","Commercial","5/13/2020"
"1054 LOUISVILLE HWY LLC","LOUISVILLE HWY  1054","140","","075.00","000","140    07500 000","","","Commercial","6/30/2021"
"1054 LOUISVILLE HWY LLC","LOUISVILLE HWY  1050","140","","076.00","000","140    07600 000","","","Commercial","8/12/2021"
"107 EMILY TRUST REALTY INVESTMENT GROUP LLC","EMILY LANE  107","033O","D","008.00","000","033O D 00800 000","RICHLAND VILLAGE SUB","7","Commercial","3/14/2024"
"1070 W MAIN STREET LLC","WEST MAIN STREET  1070","160","","048.02","000","160    04802 000","ARBORS OF HENDERSONV","2","Commercial","2/2/2022"
"1070 W MAIN STREET LLC","WEST MAIN STREET  1070","160","","048.02","001","160    04802 001","","","Commercial","2/2/2022"
"108 EMILY TRUST REALTY INVESTMENT GROUP LLC","EMILY LANE  108","033O","D","015.00","000","033O D 01500 000","RICHLAND VILLAGE SUB","14","Commercial","1/8/2022"
"109 EMILY TRUST REALTY INVESTMENT GROUP LLC","EMILY LANE  109","033O","D","009.00","000","033O D 00900 000","RICHLAND VILLAGE SUB","8","Commercial","1/8/2022"
"110 EMILY TRUST REALTY INVESTMENT GROUP LLC","EMILY LANE  110","033O","D","014.00","000","033O D 01400 000","RICHLAND VILLAGE SUB","13","Commercial","1/8/2022"
"111 EMILY TRUST REALTY INVESTMENTS GROUP LLC","EMILY LANE  111","033O","D","010.00","000","033O D 01000 000","RICHLAND VILLAGE SUB","9","Commercial","3/14/2024"
"111 NORTH TRIGG GP","TRIGG AVENUE NORTH  111","113N","E","021.00","000","113N E 02100 000","","","Commercial","5/19/2025"
"112 EMILY TRUST REALTY INVESTMENT GROUP LLC","EMILY LANE  112","033O","D","013.00","000","033O D 01300 000","RICHLAND VILLAGE SUB","12","Commercial","3/14/2024"
